russian translation,name,Persian,Arabic,,DAvar,,DGeorgian,,Rutul Dict,,Rutul Rutul Vera,,Ikhrek Rutul Jariyat,,Ikhrek Rutul Aishe Word,,Ikhrek Rutul Zijawudin 77 Word,,Ikhrek Rutul Salimat 56 Word,,Kina Rutul Nurulla,,Kina Rutul Mevletdin 70 word,,Kina Rutul Magomed-Shapi 67yo word,,Kiche Rutul Serazhudin Word,,Kiche Rutul Sejfulla Word,,Azer,Persian,In our lists for Lezgic (2) or Turkic (1),Arabic,,Kumyk,,Lezgian,,Khlut Alimurad,,Helmets Abduragim,,Helmets Tarlan,,Helmets Murad,,Khlut Alimurad,,Khlut Arsen,,Khlut Sanidir,,Khlut Islam,,Russian,,Mikik Tsakhur Allahverdi,,Mikik Tsakhur Nariman
арбуз,the watermelon,"hendevāneh, tarbuz, bettikh",batteekh (battekh ahmar),хъарпýз,1,sazamtro,22,0,NA,хъарпуз,1,хъарпыз,1,хъарпыз,1,хъарпыз,1,хъарпуз,1,хъарпыз,1,хъарпыз,1,хъарпыз,1,хъарпыз,1,хъарпыз,1,гарпыз,1,"betteekh, tarboz, hendo-vaneh",,,харбуз,1,ХАЛИ,2,хъарпуз,1,хъарпуз,1,хъарпыз,1,хъарпыз,1,хъарпуз,1,"хъарпуз, хали","1,2",хъарпуз,1,хъарпуз,1,арбуз,3,хъарпуз,1,къарпыз,1
бочка,the barrel," boshkeh, chelik, barmil, toop,  khomreh, zarbi, tagh, looleh",bermeel,чирмá,21,k'asri,22,0,NA,пышк1а,1,бычка,1,пычк1а,1,пычка,1,пучка,1,пушк1а,1,пушк1а,1,бочка,1,бочка,1,бочка,1,данышмаг,2,"barmeel, toop, cheltk, khomreh, boshkeh, zarbee, tagh, looleh",,,RUS,1,ЧАМЧАХ,3,гуд,4,бошк1а,1,пошк1а,1,бошк1а,1,"фляг, гуд","4,5",бушка,1,бушка,1,бак,6,бочка,1,т1ак1а,7,бошк1а,1
ведро,the bucket,"dalv, dool, doolcheh",satl,RUS,1,vedro,1,0,NA,педре,1,ведро,1,ведре,1,ведро,1,ведре,1,ведро,1,ведро,1,ведро,1,ведро,1,ведро,1,ведрə,1,"dalv, dool, dool-cheh",,,"педире, челек","1,2",ВЕДРЕ,1,ВЕДРЕ,1,ведро,1,ведра,1,ведра,1,ведро,1,ведро,1,ведро,1,ведро,1,ведро,1,ведра,1,ведра,1
горох,the pea,"nokhod, hemmes (rarely), khollar (green), dagh, mashi,  chi","bisilleh, hummus",хIéгьоло,20,barda,21,хар,1,хар,1,хар,1,гарох,2,к1ах,3,гарох,2,"к1ах - черный, хар - зеленый","1,3",хар,1,хар,1,к1ах,3,хар,1,нохуд,4,"hemmes (rarely), kholar (green), dagh, mashee, nokhod, chee","1,2",,нохут,4,НАХУТI,4,хар,1,гарох,2,гарох,2,гарох,2,хар,1,хар,1,хар,1,хар,1,горох,2,саг1а,5,нухьут (саг1а - мелкая коричневая),4
груша,the pear,"golābee, amrood, mata'","ijaasa, kummathraya","хIанчI, ген/и",20,msχali,21,0,NA,хы1р,1,хы1р,1,хы1р,1,хы1р,1,хы1р,1,хы1р,1,хы1р,1,хы1р,1,хы1р,1,хы1р,1,армуд,2,"amrood, golabee, mata'","1,2",,гьармут,2,ЧУЬХВЕР,3,кьал,4,чуьхарья,3,чухер,3,чуьхарья,3,кьал,4,к1ал,4,к1ал,4,,NA,груша,5,джи1ха1,6,1,6
дыня,the melon,"abkhost, bettikh, -bozeh, -moozeh, shammameh, talebi, ka-lak (unripe), kombezeh (unripe), garmak (early)",batteekh (batteekh asfar),пастІáн1,3,nesvi,21,къавын,1,къавум,1,къавум,1,къавым,1,кавын,1,кавым,1,къавум,1,къавум,1,къавум,1,къавун,1,къавум,1,говун; jемиш,"1,2","abkhost, betteekh, -bozeh, -moozeh, shammameh, talebee, ka-lak (unripe), kombezeh (unripe), garmak (early), ",,,пастан,3,КЪАВУМ; ГАТУН ХАЛИ,"1,4",КЪАВУМ,1,къавум,1,къавум,1,къавым,1,къавум,1,къавум,1,къавум,1,дыня,4,дыня,4,къавум,1,1,1
капуста (кочанная),the cabbage,"kalam, ostad-alamee, kahoo, ",kurunb,хъапустIан,2,k'ombost'o,20,келем,1,келем,1,калам,1,калам,1,калам,1,калам,1,калям,1,калям,1,калям,1,келем,1,келем,1,кəлəм/käläm,1,"ostad-alamee, kahoo, kalam","1,2",,къапуста,2,КЕЛЕМ,1,КЕЛЕМ,1,калям,1,калям,1,калям,1,келем,1,келям,1,келам,1,келам,1,капуста (кочанная),2,калям,1,1,1
морковь,the carrot,"zardak, shagha-gol (wild), gazar",jazar,ламáдур,20,st'apilo,21,йыхыIнь,1,абадур,2,абаджур,2,абаджур,2,абаджур,2,абаджур,2,абадур,2,абадур,2,абадур,2,абадур,2,абадур,2,yerkökü,3,"zardak, shagha-gol (wild), gazar",gazar in Lezgian,,чита,4,ГАЗАР,5,ГАЗАР,5,к1абажур,2,к1абажур,2,к1абажур,2,газар,5,газар,5,газар,5,,NA,морковь,6,абаджур,2,1,2
ржавчина,the rust,"zang, anar, zangar",sada',кьавý,21,zhangi,22,0,NA,мы1хъ,1,мы1хъ,1,мы1хъ,1,му1хъ,1,0,NA,мы1хъ,1,мы1хъ,1,мы1хъ,1,мы1хъ,1,мы1хъ,1,пас; боз лəкə,"2,3","anar, zangar",,,тот,4,МУЬРХЪ,1,михъ,1,пас,2,пас,2,пас,2,михъ,1,мехъ,1,михъ,1,,NA,ржавчина,5,пахыр,6,"пас (снаружи, пахыр - внутри кстарюли)","2,6"
сказка,the fairy tale,"afsāneh, qesseh, angaresh, -soorat","qessa, hikaya, haddouta",маргьа,21,zʁap'ari,22,0,NA,махв,1,мехв,1,мехв,1,мехв,1,мехв,1,ахъайид,2,ихтилат,3,ахъид?,2,махв,1,ма1хв,1,nağıl; yalan;,"4,5","angaresh, -soorat",,,ёмакъ,6,МАХ,1,МАХ,1,хабар,7,хабар,7,хьабар,7,мах,1,мах,1,"мах, хабар","1,7",мах,1,сказка,8,месала,9,нагъыл (месала пословица),4
