name,Bezhta_B,DAvar,DBezhta,DGeorgian,DHinuq,DRussian,DTsez,DTurk,Kidero_Ai,Kidero_Akh,Kidero_I
the watermelon,1,1,NA,2,1,1,1,1,1,1,1
the barrel,4,1,NA,2,3,4,4,4 5,4,4,6
the bucket,1,1,NA,1,1,1,1 2,1 3,1,1,1
the pea,4,1,NA,2,3,4,3,5,4,4,4
the pear,2,1 2,NA,3,2,4,2,5,2,2,2
the melon,2,1,NA,2,2,3,NA,1 4 5,3,3,3
the cabbage,3,1,NA,2,3,3,3,3 4,3,3,3
the carrot,1,1,NA,2,1,3,1,4 5,3,1,3
the rust,2,1,NA,2,3,4,5,6 7 8,5,5,5
the fairy tale,3,1,NA,2,1 3,4,5,6 7 8,3,3,3
the plum,5,1,NA,2,1,3,1 2,1 4,1,NA,6
the herd,8,1,NA,2,1 3,4,1,5 6 7,9,9,1
the rosary,3,NA,NA,1,2 3,4,3,5 6 7,3,3,3
the whip,8,1,NA,2,3,4,3,5 6 7,3,NA,3
the sugar,1,1,1,1,1,1,2,1 3,3,1 2,1
the soap,1,1,1,1,1,2,1,1,1,1,1
the wine,3,1 2,3,3,1 3,4,4,1 5 6,4,1,1
the table,1,1,1,2,1,1,1,1 3 4,1,1,1
the paper,4,1,2,1,1,3,1,1,1,1,1
the shop/store,2,1,2,3,4,4,2,1 3,4,1 5,4
the school,1,1,1,3,1 2,1,1 2,1 2,1,1,1
the mule,6,1,1,2,1,3,4,5,NA,4,4
the oats,NA,1,NA,2,NA,3,4,5 6 7,8,8,8
the pencil,1,1,NA,2,1,3,1,3,1,1,1
the turnip,4,1,NA,1,NA,2,NA,2 3,NA,NA,NA
the tobacco,1,1,1,1,1,1,1,1 2,1,1,1
the towel,1,1 2,3,4,1,1,1,5 6,1,1,1
the pepper,7,1 2,NA,1,1,2,3,4 5 6 7,2,8,9
the lion,6,1,1,2,1,3,NA,4 5,NA,3,NA
the week,1,1,1,2,1,3,1,4 5,3,NA,1
the candle,NA,1 2,3,3,3,4,3,2 5 6,4,4,4
the glass,1,1 2,1,3,1,4,1,2,1,1,1
the rice,1,1,1,1,2,3,NA,4,2,2,2
the cup,7,1 2,NA,3,4,5,6,3 5,8,9,10
the bottle,1,1,1,2,1,3,1,1,1,1,1
the pipe,NA,1 2,NA,3,NA,3,NA,4 5,NA,6,6
the pocket,2,1 2,2,3,1 4,5,2 3,2 3,3,3,3
the colour/color,1,1,1,2,1,3,1,4 5 6 7,1,1,1
the gun,2 5,1,NA,NA,2,3,2,1 4,6,1,2
the copper,2,1,2,3,1 2,4,1 2,2 5 6,7,NA,7
the gold,1,1,1,2,1,3,1,4 5,1,1,1
the ball,6,1,NA,2,1 3,4,5,5,7,7,NA
the window,8,1,2,3,4,5,4,3 6 7,4,4,4
the trousers,5,1,NA,2,3,4,3,2 5,6,3,3
the chain,8,1 2,1,3,4,5,6 7,2,9,9,9
the fork,3,1,NA,2,NA,2,NA,1 2,4,5,5
the reindeer/caribou,2,1,2,3,2 4,5,6,7 8,2,NA,2
the time,1,1 2 3,2,4,1 3 5,6,1 2,7,1,1,1
the money,2,1,2,3,4,5,4,3 6,4,4,4
the soup,1,1,1,2,1 3,4,1,1,1,1,1
the lead,3,1,NA,2,3,4,3,5,NA,NA,3
the scythe,7,1,2,3,1 4,5,1,6,1 8,1,1
the sickle,5,1 2,NA,NA,NA,3,NA,4,6,6,6
the paint,NA,1 2,3,4,1 5,3,5,6 7 8,3,NA,5
the prison,1,1,1,2,1,3,1,1 4 5,1,1,1
the silver,9,1,2,3,4 5,6,5,7 8,NA,1,NA
the lock,4,1 2 3,NA,2,NA,4,NA,1 2,5,6,6
the mortar(2),4,1,NA,NA,1,2,1,3 4,5,1,1
the cross,1,1,1,NA,1,2,1,1 3,1,1,5
the fist,7,1,NA,2,3,4,3,5 6,7,7,7
the joke,1,1,NA,2,1 3 4 5,6,1,1 6 7,1,1,1
the spade,5,1 2,3,4,5,6,5,7 8 9,5,5,5
the scissors or shears,2,1,2,3,4,5,6,7,6,6,6
the blanket,1,1 2,1,3,1 4,2,2 4,1 5,4,4,4
