russian translation,name,Persian,Arabic,Failures Farsi,Rutul Dict,Rutul Rutul Vera,Ikhrek Rutul Jariyat,Ikhrek Rutul Aishe Word,Ikhrek Rutul Zijawudin 77 Word,Ikhrek Rutul Salimat 56 Word,Kina Rutul Nurulla,Kina Rutul Mevletdin 70 word,Kina Rutul Magomed-Shapi 67yo word,Kiche Rutul Serazhudin Word,Kiche Rutul Sejfulla Word,Azer,Kumyk,Lezgian,Khlut Alimurad,Helmets Abduragim,Helmets Tarlan,Helmets Murad,Khlut Alimurad,Khlut Arsen,Khlut Sanidir,Khlut Islam,Russian,Tsez_dict,Bezhta_dict,Bezhta Batyr,Kidero Aishat,Kidero Ibragim,Kidero Akhmed,Hinuq_dict,Karata,Karata_Zagra,Karata_Zagra_da,Karata_Umarkhadzhi,Karata_Umarkhadzhi_da,Karata_Khajbula,Karata_Khajbula_da,Karata_Ktoto,Karata_Ktoto_da,Tukita_MagMag,Tukita_MagMag_da,Tadmagitl_Khadzhimurat,Tadmagitl_Khadzhimurat_da,Tadmagitl_Nazirbek,Tadmagitl_Nazirbek_da,Tadmagitl_Nadzhawat,Tadmagitl_Nadzhawat_da,Tadmagitl_Abdurakhman,Tadmagitl_Abdurakhman_da,Karata_Gazijav,Karata_Gazijav_da,Bagvalal,Bagvalal_Gusejn,Bagvalal_Gusejn_da,Bagvalal_Muminat,Bagvalal_Muminat_da,Bagvalal_Muslim,Bagvalal_Muslim_da,Bagvalal_nazhavat,Bagvalal_nazhavat_da
арбуз,the watermelon,"hendevāneh, tarbuz, bettikh",batteekh (battekh ahmar),"1. транскрипция не отражает различие между двумя ""а""",0,хъарпуз,хъарпыз,хъарпыз,хъарпыз,хъарпуз,хъарпыз,хъарпыз,хъарпыз,хъарпыз,хъарпыз,гарпыз,харбуз,ХАЛИ,хъарпуз,хъарпуз,хъарпыз,хъарпыз,хъарпуз,"хъарпуз, хали",хъарпуз,хъарпуз,арбуз,къарпуз,0,хъарпуз,арбуз,хъарпуз,къарпуз,къарпуз,хъармуз,хъармуз,,да,хъармуз,да,хъармуз,да,хъармуз,,,,,хъапузи,,да,хъапузи,,,,,хъарбуз,хъарпуз,,да,хъарпуз,хъарбуз,,хъарпуз,
бочка,the barrel," boshkeh, chelik, barmil, toop,  khomreh, zarbi, tagh, looleh",bermeel,"2. пропущены очень распространенные переводы, присутствуют редкие слова",0,пышк1а,бычка,пычк1а,пычка,пучка,пушк1а,пушк1а,бочка,бочка,бочка,данышмаг,RUS,ЧАМЧАХ,гуд,бошк1а,пошк1а,бошк1а,"фляг, гуд",бушка,бушка,бак,бочка,бочка,0,бочка,бочка,коцол1и,бочка,папатIу,пошка,бочка,,да,бочка,да,бочка,да,бочка,бочка,,,,рус,,рагва,,,,,,"чирмá / чирми, бочка",,,да,"чирмá / чирми, бочка",да,"чирмá / чирми, бочка",да,"чирмá / чирми, бочка"
ведро,the bucket,"dalv, dool, doolcheh",satl,"3. 3 четверти слов здесь - арабизмы, которые никто не использует, вообще никто",0,педре,ведро,ведре,ведро,ведре,ведро,ведро,ведро,ведро,ведро,ведрə,"педире, челек",ВЕДРЕ,ВЕДРЕ,ведро,ведра,ведра,ведро,ведро,ведро,ведро,ведро,"босоно (деревянное), ведра",0,ведра,ведро,ведро,ведро,ведро,бедера,бедера,,да,бедера,да,бедера,да,бедера,пидра,,бидира,,бидира,,да,бидира,,,,,бидира,бедра,,бедера,,бедра,,ведро,
горох,the pea,"nokhod, hemmes (rarely), khollar (green), dagh, mashi,  chi","bisilleh, hummus",,хар,хар,хар,гарох,к1ах,гарох,"к1ах - черный, хар - зеленый",хар,хар,к1ах,хар,нохуд,нохут,НАХУТI,хар,гарох,гарох,гарох,хар,хар,хар,хар,горох,алукIани гьил горох (букв. белые бобы),0,гьоло?,гарох,гарох,гарох,"гьилу, алдийу гьилу",х1але,х1але (черные бобы; гороха нет),,гарох,,,,"гарох, х1але",,гьац1а гьале,,гьали,,да,гьали,,,горох,,,,гьал,"горох, гьал, еще что-то было",,гарух,,гьаль,,гьаль,
груша,the pear,"golābee, amrood, mata'","ijaasa, kummathraya",,0,хы1р,хы1р,хы1р,хы1р,хы1р,хы1р,хы1р,хы1р,хы1р,хы1р,армуд,гьармут,ЧУЬХВЕР,кьал,чуьхарья,чухер,чуьхарья,кьал,к1ал,к1ал,,груша,гени,0,гени,гени,гени,гени,гени,"гьиНгьиН, х1амагъаНкъ",первое,,первое,,первое,,гьиНгьиН,,гени,,махахо,,да,махахо,,,да,махахо,,,гьиНгьа,махуха,,да,махуха,да,махуха,да,махуха
дыня,the melon,"abkhost, bettikh, -bozeh, -moozeh, shammameh, talebi, ka-lak (unripe), kombezeh (unripe), garmak (early)",batteekh (batteekh asfar),,къавын,къавум,къавум,къавым,кавын,кавым,къавум,къавум,къавум,къавун,къавум,говун; jемиш,пастан,КЪАВУМ; ГАТУН ХАЛИ,КЪАВУМ,къавум,къавум,къавым,къавум,къавум,къавум,дыня,дыня,0,0,неси,дыня,дыня,дыня,неси,паст1ан,паст1ан,,да,паст1ан,хъабахъ (ав) паст1ан,,п,хъабахъ (ав) паст1ан,паст1ан,,паст1а,,да,паст1а,,,подтвердил,,,,патIих,"дыня, паст1ан (ав)",,дыня,,паст1ан может быть,,дыня,
капуста (кочанная),the cabbage,"kalam, ostad-alamee, kahoo, ",kurunb,,келем,келем,калам,калам,калам,калам,калям,калям,калям,келем,келем,кəлəм/käläm,къапуста,КЕЛЕМ,КЕЛЕМ,калям,калям,калям,келем,келям,келам,келам,капуста (кочанная),капуста,0,капуста,капуста,капуста,капуста,капуста,0,капуста,,да,капуста,хъапуск1а,,"да, хъапуск1а",хъапуск1а,капуста,,хъапуста,,да,хъапуста,,,да,хъапуста,,,КАПУСТА,капуста,,да,капуста,да,капуста,да,капуста
морковь,the carrot,"zardak, shagha-gol (wild), gazar",jazar,,йыхыIнь,абадур,абаджур,абаджур,абаджур,абаджур,абадур,абадур,абадур,абадур,абадур,yerkökü,чита,ГАЗАР,ГАЗАР,к1абажур,к1абажур,к1абажур,газар,газар,газар,,морковь,ламадур,0,ламадур,мокровь,марков,ламадур,ламадур,ламат1ур,мамат1ур,,мамат1уру,,мамат1ур,,мамат1уру,,ламат1ур,,экье,,да,экье,,,,,,,гьекьéм,ламатур,,,,да,ламатур,ламадур,
ржавчина,the rust,"zang, anar, zangar",sada',,0,мы1хъ,мы1хъ,мы1хъ,му1хъ,0,мы1хъ,мы1хъ,мы1хъ,мы1хъ,мы1хъ,пас; боз лəкə,тот,МУЬРХЪ,михъ,пас,пас,пас,михъ,мехъ,михъ,,ржавчина,хIашри,0,женгъи,х1а1шри,х1ашра,х1а1шри,хешла // хешра,0,кьабчур,,да,кьабчур,п,кьабчур,кьарччу,,кьаг1и,,кьабу,,да,кьабу,,,,,,,кьваНй,кьванй,,,,кьваНй,,да,кьваНй
сказка,the fairy tale,"afsāneh, qesseh, angaresh, -soorat","qessa, hikaya, haddouta",,0,махв,мехв,мехв,мехв,мехв,ахъайид,ихтилат,ахъид?,махв,ма1хв,nağıl; yalan;,ёмакъ,МАХ,МАХ,хабар,хабар,хьабар,мах,мах,"мах, хабар",мах,сказка,эмаду,0,акичарле,маргьа,маргьа,маргьа,"акичIал, маргьа",мугьа,да,мугьа,да,мугьа,да,мугьа,да,мугьа,маргьо,,муха,,да,муха,,,,,,,МУГЬА,маргьва,,маргьо,,маргъва,,маргьо,
слива,the plum,"alang, allocheh, aloozard, zalzanak, gowjeh, nesbat, noghl, noghlee","barqooqa, khokha, ijasa",,0,шугьди,гавали,гывели,гыгели,кавали,гывыли,кавали,кавали,шегьди,пылибыр?,ҝавалы,кокан,ХВАТ,ХВАТ,гавали,гавали,гавали,хот,хот,хват,хут,слива,"кукум, килав",0,келеври,кукум,джага,0,"кукум, кукам",каНкула,канкула,,да,канкула,п,канкула,п,канкула,кукун,,коквани,,кваквани,,,,,,,,"гIурýскваНкул, квáНкул",,,,,канкул,,да,канкул
стадо (овец),the herd,"bagher (of oxen), khook-ban (swine), -cheran (swine), rameh, padeh (oxen), seeleh, faseeleh, galleh, gowbareh","ra'iya, qatee', baqer (cattle), qoot (sheep)",,суьрю,нехир,хы1б,ятах,ятах,нехир,суьруь,суьруь,суьруь,нехир,ирхи/илхи,сүрү; нахыр,"сирив, йылкъы, тувар, гезив (гьайванлар)",ИЛХИ; НЕХИР; СУЬРУЬ (овец); КЪИФЛЕ; РАМАГ,"суьруь, нехир",нахир,баги,"нахир, сури - овец","нехир, шуьруь",нехир,нехир,суьри,стадо (овец),рехъен,0,воц1и,бекь,рехъен,бекь,"гури, рехъен",рехьет1,риъвар,,риъвар,,риъвар,,да,риъвар,"ихьва, ихьва-хъир",,ракъва,,подтвердил,ракъва,,,,,,,РЕХЬÉТI,"рехъен (ав), руар подтвердил",,руар,,руар,,да,руар
