nr	name	russian translation	intersection	avar_standard_dictionary	andi_andi_dictionary	aa_source	andi_gagatli_dictionary	ag_source	andi_zilo1_2018_f_2002	az1_source	andi_zilo2_2017_m_mixed	az2_source	andi_rikvani_2017_m_1949	ar_source	botlikh_botlikh_mixed	bb_source	avar_kusur_2017_m_?	ak_source	azerbaijani_standard_dictionary	chechen_standard_dictionary	kumyk_standard_dictionary	doubtful
141	the bow	лук (оружие), стрела		чIорбутI, газаргъо	лъер	non loan	лъер (также стрела)	non loan	---	NA	церцедахъи	non loan	далларгъа	unidentified	тергеч	unidentified	ох	unidentified	NA	NA	жая, къазарху	1
167	the scabies	чесотка		хъирис	хъириси	avar	хъириси	avar	хъамхъа	unidentified	хъирици	avar	къирис	avar	хъазан	unidentified	хъутур	unidentified	keçəl	гирз	къычыв	1
163	the sleeve	рукав		къвал	квол	turkic	колло	turkic	квелъир	unidentified	квелъир	unidentified	NA	NA	кваха	unidentified	кунта	unidentified	qol	пхьош	енг	1
52	the scythe	коса		харицел	ничо	non loan	ничо	non loan	ничо	non loan	ничо, хъандиро (маленькая, самодельная коса)	non loan	NA	NA	чабаги	unidentified	ч1еник	unidentified	NA	NA	чалгъы	1
62	the spade	лопата		бугьун, бел	бел	persian	бел	persian	бел	persian	бел (металлическая лопата)	persian	бел	persian	реххин	unidentified	лага	unidentified	kürümək	(деревянная) баьхьа; (железная) бел	бел, кюрек, лопата	1
95	the corpse	труп	труп	жаназа (человеческий), балкан (животное)	жъаназа	arabic	джаназа	arabic	джаназа	arabic	джаназа	arabic	джаназа	arabic	джаназа	arabic	мигьит	unidentified	cəsəd	дакъа	оьлген къаркъара, сюек	1
93	the slave	раб	раб	лагъ	лагъи	avar	лагъи	avar	бич	unidentified	лагъи	avar	лагъ	avar	лагъ	avar	нук1арав	unidentified	qul	Лай	къул	1
9	the rust	ржавчина		кьавý	кьагу	avar	кьав	avar	кьав	avar	кьав	avar	NA	NA	кьаму	avar	сыг1	unidentified	пас; боз лəкə	мекха	тот	1
92	the felt	войлок (из чего делают бурки)		буртина	NA	NA	буртинул1и	avar	гьургу	non loan	гьургу	non loan	муртул1	non loan	буртина	avar	киртияб	unidentified	keçə	б1ег1иг	кийиз	1
113	the beak	клюв		гозо	NA	NA	гозо	avar	к1ол	non loan	к1ол	non loan	магьар (нос)	non loan	гозо	avar	к1урт1иб	unidentified	dimdik	з1ок	къуш бурун	1
25	the turnip	репа		талган	талган	unidentified	NA	NA	талган	unidentified	палган	unidentified	талган	unidentified	NA	NA	къакъаба	unidentified	şalğam	хорсам	турп	1
34	the cup	чашка		чашка, чай гьекъолеб суркIа	NA	NA	NA	NA	курушка	russian	чингил	unidentified	NA	NA	NA	NA	джамиб	unidentified	fincan	кад	чашка, пинжан	1
164	the elbow	локоть		гIункIрукь	NA	NA	NA	NA	ц1икон	NA	NA	NA	NA	NA	NA	NA	х1укмаз	unidentified	NA	NA	NA	1
110	the mushroom	гриб		гIурдахIан	махъия	non loan	бакъгакъга	non loan	хорошашуб авъара	non loan	хорошашуб авъара (папаха чабана)	non loan	NA	NA	NA	NA	чаклагъ	unidentified	göbələk	ж1аьлин нускал	къолкъотур	1
126	the ring	кольцо		гор	ц1ц1ек1алъол	non loan	ц1ц1ек1алъол	non loan	ц1екалъол	non loan	ц1ек1алъол	non loan	NA	NA	гьецIибущу	non loan	баргъич1	unidentified	üzük	ч1уг	гьалкъа, юзюк, солгъу, минав	1
105	the belt	ремень, пояс		рачел, гIарщ, хьвацIил чIоло	рокьочул	non loan	рокьочул	non loan	рокьучул	non loan	рокьучул	non loan	NA	NA	игьабу	non loan	камар	unidentified	qayış (ремень)	доьхка	къайыш; белбав	1
160	the lip	губа	губа	кIветI	сим	non loan	сунк1а	non loan	сунк1а	non loan	сунк1а	non loan	сунк1а	non loan	сими	non loan	курпил, к1вет1	unidentified	dodaq	балда	эрин	1
10	the fairy tale	сказка		маргьа	муха	non loan	муха	non loan	муха	non loan	муха	non loan	муха	non loan	муха	non loan	х1акия	unidentified	nağıl; yalan;	туьйра	ёмакъ	1
98	the axe/ax	топор	топор	гIащтIи	анжиди	non loan	анжиди	non loan	анжиди	non loan	анжиди	non loan	анжди	non loan	курт1а	non loan	ижди	unidentified	balta	диг	балта	1
142	the owl	сова	сова	руз		NA		NA		NA		NA	бугьу	non loan	бугьу	non loan	бугургу	unidentified				1
44	the trousers	брюки	штаны, брюки	тIажу (штаны)	охъо	non loan	шалбарб	turkic	орчоги	non loan	орчоги	non loan	шарбал	turkic	барта	non loan	х1ебид	unidentified	шалвар	хеча	шалбар, иштан	
23	the oats	овёс (чем кормят лошадей)	овёс	неха (ниха)	ниха	turkic	ниха	turkic	бурч1ина	unidentified	ниха	turkic	ниха	turkic	к1алц1и (для лощадей)	non loan	угуб	unidentified	yulaf	сула, кена	сулу, ныха	1
36	the pipe	трубка курительная		цIулал хъалиян, хулхул хъалиян, трубка	луллу	chechen	NA	NA	трубка	russian	лулла	chechen	муштук	russian	му2штук	russian	хъайлан	unidentified	boru	луьлла	юлле	1
