DAzer;DKumyk;DLezgian;DRutul;IkhAish;IkhJar;IkhSal;IkhZij;KicheSej;KicheSer;KinaMev;KinaNur;KinaShaf;Kusur;RutVera
DAzer;0.0;0.6134453781512605;0.7435897435897436;0.6971153846153846;0.759493670886076;0.7553648068669528;0.7521367521367521;0.7330508474576272;0.76;0.7692307692307693;0.7654867256637168;0.7489361702127659;0.7304347826086957;0.7975206611570248;0.7534883720930232
DKumyk;0.6134453781512605;0.0;0.7478991596638656;0.7089201877934272;0.7583333333333333;0.7721518987341772;0.7573221757322176;0.7615062761506276;0.7565217391304347;0.7688888888888888;0.7565217391304347;0.7531380753138075;0.7564102564102564;0.8008130081300813;0.7465437788018433
DLezgian;0.7435897435897436;0.7478991596638656;0.0;0.6509433962264151;0.7245762711864406;0.721030042918455;0.7203389830508474;0.6965811965811965;0.6651982378854625;0.6787330316742082;0.7212389380530974;0.6923076923076923;0.7142857142857143;0.8223140495867769;0.6651162790697674
DRutul;0.6971153846153846;0.7089201877934272;0.6509433962264151;0.0;0.2863849765258216;0.24170616113744076;0.29906542056074764;0.3018867924528302;0.22439024390243903;0.235;0.2561576354679803;0.2;0.27403846153846156;0.7339449541284404;0.09183673469387756
IkhAish;0.759493670886076;0.7583333333333333;0.7245762711864406;0.2863849765258216;0.0;0.1297071129707113;0.12184873949579832;0.1908713692946058;0.3695652173913043;0.4017857142857143;0.32158590308370044;0.2815126050420168;0.31759656652360513;0.7520325203252033;0.2981651376146789
IkhJar;0.7553648068669528;0.7721518987341772;0.721030042918455;0.24170616113744076;0.1297071129707113;0.0;0.15254237288135594;0.20253164556962025;0.33771929824561403;0.35;0.28634361233480177;0.24472573839662448;0.25862068965517243;0.7448559670781894;0.2672811059907834
IkhSal;0.7521367521367521;0.7573221757322176;0.7203389830508474;0.29906542056074764;0.12184873949579832;0.15254237288135594;0.0;0.22362869198312235;0.3930131004366812;0.3783783783783784;0.30837004405286345;0.2838983050847458;0.3017241379310345;0.75;0.2995391705069124
IkhZij;0.7330508474576272;0.7615062761506276;0.6965811965811965;0.3018867924528302;0.1908713692946058;0.20253164556962025;0.22362869198312235;0.0;0.3991228070175439;0.38461538461538464;0.3185840707964602;0.2869198312236287;0.29004329004329005;0.7540983606557377;0.31627906976744186
KicheSej;0.76;0.7565217391304347;0.6651982378854625;0.22439024390243903;0.3695652173913043;0.33771929824561403;0.3930131004366812;0.3991228070175439;0.0;0.23394495412844038;0.3153153153153153;0.2956521739130435;0.3288888888888889;0.7435897435897436;0.2535885167464115
KicheSer;0.7692307692307693;0.7688888888888888;0.6787330316742082;0.235;0.4017857142857143;0.35;0.3783783783783784;0.38461538461538464;0.23394495412844038;0.0;0.3101851851851852;0.29596412556053814;0.3348623853211009;0.748898678414097;0.2146341463414634
KinaMev;0.7654867256637168;0.7565217391304347;0.7212389380530974;0.2561576354679803;0.32158590308370044;0.28634361233480177;0.30837004405286345;0.3185840707964602;0.3153153153153153;0.3101851851851852;0.0;0.1572052401746725;0.19730941704035873;0.7467811158798283;0.27014218009478674
KinaNur;0.7489361702127659;0.7531380753138075;0.6923076923076923;0.2;0.2815126050420168;0.24472573839662448;0.2838983050847458;0.2869198312236287;0.2956521739130435;0.29596412556053814;0.1572052401746725;0.0;0.15948275862068967;0.7448559670781894;0.22119815668202766
KinaShaf;0.7304347826086957;0.7564102564102564;0.7142857142857143;0.27403846153846156;0.31759656652360513;0.25862068965517243;0.3017241379310345;0.29004329004329005;0.3288888888888889;0.3348623853211009;0.19730941704035873;0.15948275862068967;0.0;0.7531380753138075;0.2641509433962264
Kusur;0.7975206611570248;0.8008130081300813;0.8223140495867769;0.7339449541284404;0.7520325203252033;0.7448559670781894;0.75;0.7540983606557377;0.7435897435897436;0.748898678414097;0.7467811158798283;0.7448559670781894;0.7531380753138075;0.0;0.755656108597285
RutVera;0.7534883720930232;0.7465437788018433;0.6651162790697674;0.09183673469387756;0.2981651376146789;0.2672811059907834;0.2995391705069124;0.31627906976744186;0.2535885167464115;0.2146341463414634;0.27014218009478674;0.22119815668202766;0.2641509433962264;0.755656108597285;0.0

