DAzer;DKumyk;DLezgian;DRutul;IkhAish;IkhJar;IkhSal;IkhZij;KicheSej;KicheSer;KinaMev;KinaNur;KinaShaf;Kusur;RutVera
DAzer;0;0.32;0.35;0.48;0.43;0.44;0.43;0.41;0.42;0.44;0.44;0.43;0.41;0.32;0.45
DKumyk;0.32;0;0.33;0.44;0.41;0.43;0.41;0.41;0.4;0.4;0.4;0.41;0.4;0.3;0.41
DLezgian;0.35;0.33;0;0.37;0.35;0.36;0.35;0.33;0.29;0.31;0.36;0.34;0.34;0.29;0.31
DRutul;0.48;0.44;0.37;0;0.27;0.25;0.27;0.27;0.21;0.23;0.25;0.22;0.24;0.37;0.16
IkhAish;0.43;0.41;0.35;0.27;0;0.1;0.08;0.13;0.23;0.25;0.22;0.18;0.2;0.3;0.21
IkhJar;0.44;0.43;0.36;0.25;0.1;0;0.11;0.13;0.22;0.24;0.19;0.17;0.17;0.31;0.2
IkhSal;0.43;0.41;0.35;0.27;0.08;0.11;0;0.15;0.24;0.25;0.21;0.19;0.19;0.31;0.21
IkhZij;0.41;0.41;0.33;0.27;0.13;0.13;0.15;0;0.24;0.24;0.2;0.18;0.18;0.31;0.23
KicheSej;0.42;0.4;0.29;0.21;0.23;0.22;0.24;0.24;0;0.12;0.2;0.21;0.2;0.29;0.16
KicheSer;0.44;0.4;0.31;0.23;0.25;0.24;0.25;0.24;0.12;0;0.21;0.22;0.21;0.3;0.14
KinaMev;0.44;0.4;0.36;0.25;0.22;0.19;0.21;0.2;0.2;0.21;0;0.13;0.14;0.31;0.19
KinaNur;0.43;0.41;0.34;0.22;0.18;0.17;0.19;0.18;0.21;0.22;0.13;0;0.12;0.31;0.16
KinaShaf;0.41;0.4;0.34;0.24;0.2;0.17;0.19;0.18;0.2;0.21;0.14;0.12;0;0.3;0.18
Kusur;0.32;0.3;0.29;0.37;0.3;0.31;0.31;0.31;0.29;0.3;0.31;0.31;0.3;0;0.32
RutVera;0.45;0.41;0.31;0.16;0.21;0.2;0.21;0.23;0.16;0.14;0.19;0.16;0.18;0.32;0
