concept_nr	concept	word	language	village	respondent	stem	
1	the ant	лъанц1	andi	rikvani	rikvani1	9	
1	the ant	лъанц1ц1и	andi	zilo	zilo1	9	
1	the ant	лъанц1и	andi	zilo	zilo2	9	
2	the arch	к1к1ара	andi	rikvani	rikvani1	8	
2	the arch	к1к1амур	andi	zilo	zilo1	5	
2	the arch	к1к1амур	andi	zilo	zilo2	5	
3	the axe/ax	анжди	andi	rikvani	rikvani1	10	
3	the axe/ax	балта	andi	zilo	zilo1	2	
3	the axe/ax	анжиди	andi	zilo	zilo1	10	
3	the axe/ax	анжиди	andi	zilo	zilo2	10	
4	the ball	торъо	andi	rikvani	rikvani1	7	
4	the ball	торъо	andi	zilo	zilo1	7	
4	the ball	торъо	andi	zilo	zilo2	7	
5	the barrel	бочка	andi	rikvani	rikvani1	1	
5	the barrel	бочка	andi	zilo	zilo1	1	
5	the barrel	шалеги	andi	zilo	zilo1	3	
5	the barrel	ведра	andi	zilo	zilo2	13	
5	the barrel	шалеги	andi	zilo	zilo2	3	
6	the bat	хакара	andi	rikvani	rikvani1	14	
6	the bat	лъалбот1и	andi	zilo	zilo1	16	
6	the bat	лъалбот1и	andi	zilo	zilo2	16	
7	the beak	магьар	andi	rikvani	rikvani1	13	
7	the beak	к1ол	andi	zilo	zilo1	14	
7	the beak	к1ол	andi	zilo	zilo2	14	
8	the beard	мигажу	andi	rikvani	rikvani1	9	
8	the beard	мигажу	andi	zilo	zilo1	9	
8	the beard	мигажу	andi	zilo	zilo2	9	
9	the beeswax	щир	andi	rikvani	rikvani1	9	
9	the beeswax	шир	andi	zilo	zilo1	9	
9	the beeswax	щир	andi	zilo	zilo2	9	
10	the belt	рокьучул	andi	zilo	zilo1	14	
10	the belt	рокьучул	andi	zilo	zilo2	14	
11	the blanket	йургъан	andi	rikvani	rikvani1	2	
11	the blanket	йоргъан	andi	zilo	zilo1	2	
12	the blister	пул т1амид	andi	rikvani	rikvani1	11	
12	the blister	пули	andi	zilo	zilo1	11	
12	the blister	рикьил1ил гьанк1о	andi	zilo	zilo2	12	
13	the boar	хунт1а кунта	andi	rikvani	rikvani1	11	
13	the boar	къаман // къабан	andi	rikvani	rikvani1	1	
13	the boar	кабан	andi	zilo	zilo1	1	
13	the boar	хунт1а	andi	zilo	zilo2	11	
13	the boar	хъаман	andi	zilo	zilo2	1	
14	the body	къаркъала	andi	rikvani	rikvani1	12	
14	the body	лага	andi	rikvani	rikvani1	13	
14	the body	лага	andi	zilo	zilo1	13	
14	the body	къаркъал	andi	zilo	zilo1	12	
14	the body	къаркъала	andi	zilo	zilo2	12	
14	the body	лага	andi	zilo	zilo2	13	
15	the bottle	шиша	andi	rikvani	rikvani1	2	
15	the bottle	шиша	andi	zilo	zilo1	2	
15	the bottle	шиша	andi	zilo	zilo2	2	
16	the boundary	орхъи	andi	rikvani	rikvani1	14	
16	the boundary	дазу	andi	zilo	zilo1	12	
16	the boundary	дазу	andi	zilo	zilo2	12	
17	the bow	далларгъа	andi	rikvani	rikvani1	10	
17	the bow	церцедахъи	andi	zilo	zilo2	11	
18	the bracelet	кверкъин	andi	zilo	zilo1	12	
18	the bracelet	браслет	andi	zilo	zilo1	1	
18	the bracelet	кверкъин	andi	zilo	zilo2	12	
19	the bridge	кьир	andi	zilo	zilo1	9	
19	the bridge	кьир	andi	zilo	zilo2	9	
20	the broom	л1арл1ал	andi	zilo	zilo1	11	
20	the broom	л1арл1ал	andi	zilo	zilo2	11	
21	the bucket	челек	andi	rikvani	rikvani1	4	
21	the bucket	челеки	andi	zilo	zilo1	4	
21	the bucket	челеки	andi	zilo	zilo2	4	
22	the butterfly	ц1орц1а	andi	rikvani	rikvani1	11	
22	the butterfly	одорук1а	andi	zilo	zilo1	12	
22	the butterfly	одорук1а	andi	zilo	zilo2	12	
23	the cabbage	къапуста // капуста	andi	rikvani	rikvani1	1	
23	the cabbage	капуста	andi	zilo	zilo1	1	
23	the cabbage	капуста	andi	zilo	zilo2	1	
24	the candle	ширл1 чирахъ	andi	rikvani	rikvani1	9	
24	the candle	свеча	andi	zilo	zilo1	1	
25	the carrot	мамат1ур	andi	zilo	zilo1	9	
25	the carrot	мамат1ур	andi	zilo	zilo2	9	
26	the cat	геду	andi	rikvani	rikvani1	4	
26	the cat	геду	andi	zilo	zilo1	4	
26	the cat	геду	andi	zilo	zilo2	4	
27	the cattle	(реч1едир) буц1ц1ир	andi	rikvani	rikvani1	11	
27	the cattle	бишоннол	andi	rikvani	rikvani1	12	
27	the cattle	бишоннол	andi	zilo	zilo1	12	
27	the cattle	буц1ц1ирол	andi	zilo	zilo1	11	
27	the cattle	бишонно	andi	zilo	zilo2	12	
27	the cattle	буц1ц1ир	andi	zilo	zilo2	11	
28	the cave	реч1ч1о	andi	rikvani	rikvani1	14	
28	the cave	пещера	andi	zilo	zilo1	1	
28	the cave	реч1о	andi	zilo	zilo2	14	
29	the chain	раххас	andi	rikvani	rikvani1	6	
29	the chain	рахаси	andi	zilo	zilo1	6	
29	the chain	рахаси	andi	zilo	zilo2	6	
30	the clan	гьикьим	andi	rikvani	rikvani1	8	
30	the clan	тухум	andi	rikvani	rikvani1	1	
30	the clan	тухум	andi	zilo	zilo1	1	
30	the clan	тухум	andi	zilo	zilo2	1	
31	the clothing or clothes	рол*ал	andi	rikvani	rikvani1	15	
31	the clothing or clothes	роъол	andi	zilo	zilo1	15	
31	the clothing or clothes	роъол	andi	zilo	zilo2	15	
32	the cock/rooster	алкуци	andi	rikvani	rikvani1	9	
32	the cock/rooster	х1елеко	andi	zilo	zilo1	8	
32	the cock/rooster	х1елеко	andi	zilo	zilo2	8	
33	the colour/color	босо	andi	rikvani	rikvani1	12	
33	the colour/color	босо	andi	zilo	zilo1	12	
33	the colour/color	босо	andi	zilo	zilo2	12	
34	the copper	гьир	andi	rikvani	rikvani1	8	
34	the copper	гьир	andi	zilo	zilo1	8	
34	the copper	гьир	andi	zilo	zilo2	8	
35	the corpse	рокьи	andi	rikvani	rikvani1	15	
35	the corpse	джаназа	andi	rikvani	rikvani1	4	
35	the corpse	джаназа	andi	zilo	zilo1	4	
35	the corpse	джаназа	andi	zilo	zilo2	4	
36	the cross	хъанч	andi	rikvani	rikvani1	6	
36	the cross	крест	andi	zilo	zilo1	1	
36	the cross	крест	andi	zilo	zilo2	1	
37	the cup	чингил	andi	zilo	zilo1	13	
37	the cup	курушка	andi	zilo	zilo1	12	
37	the cup	чингил	andi	zilo	zilo2	13	
38	the debt	налъи	andi	rikvani	rikvani1	10	
38	the debt	налъи	andi	zilo	zilo1	10	
38	the debt	налъи	andi	zilo	zilo2	10	
39	the drum	къали	andi	rikvani	rikvani1	11	
39	the drum	къали	andi	zilo	zilo1	11	
39	the drum	къали	andi	zilo	zilo2	11	
40	the duck	бабущ	andi	rikvani	rikvani1	5	
40	the duck	бадущи	andi	zilo	zilo1	5	
40	the duck	бадущи	andi	zilo	zilo2	5	
41	the dust	кьехва	andi	rikvani	rikvani1	10	
41	the dust	кьехва	andi	zilo	zilo1	10	
41	the dust	кьехва	andi	zilo	zilo2	10	
42	the earring	киц1у	andi	zilo	zilo1	11	
42	the earring	к1иц1убил	andi	zilo	zilo2	11	
43	the egg	к1орк1рон	andi	rikvani	rikvani1	11	
43	the egg	к1орк1он	andi	zilo	zilo1	11	
43	the egg	к1орк1он	andi	zilo	zilo2	11	
44	the fairy tale	муха	andi	rikvani	rikvani1	16	
44	the fairy tale	муха	andi	zilo	zilo1	16	
44	the fairy tale	муха	andi	zilo	zilo2	16	
45	the family	хъизан	andi	rikvani	rikvani1	7	
45	the family	хъизан	andi	zilo	zilo1	7	
45	the family	хъизан	andi	zilo	zilo2	7	
46	the felt	муртул1	andi	rikvani	rikvani1	10	
46	the felt	гьургу	andi	zilo	zilo1	11	
46	the felt	гьургу	andi	zilo	zilo2	11	
47	the fermented drink	чаъа	andi	rikvani	rikvani1	6	
47	the fermented drink	ч1ач1а	andi	zilo	zilo2	6	
48	the firewood	лъуди	andi	zilo	zilo1	10	
49	the fish	ччуъа	andi	rikvani	rikvani1	7	
49	the fish	хвами	andi	zilo	zilo1	8	
49	the fish	хвами	andi	zilo	zilo2	8	
50	the fist	за	andi	zilo	zilo1	7	
50	the fist	за	andi	zilo	zilo2	7	
51	the flour	(къирл1) л*енщур	andi	rikvani	rikvani1	10	
51	the flour	энщур	andi	zilo	zilo1	10	
51	the flour	енщур	andi	zilo	zilo2	10	
52	the flower	джинджи	andi	zilo	zilo1	10	
52	the flower	джинджи	andi	zilo	zilo2	10	
53	the footprint	рикъин	andi	zilo	zilo1	15	
53	the footprint	лъол	andi	zilo	zilo1	16	
53	the footprint	лъол	andi	zilo	zilo2	16	
53	the footprint	лъол*	andi	rikvani	rikvani1	16	
