english,bezhta_word,bezhta_source_word,bezhta_source_language
the rainbow,mašola,ašuni 'belt',Georgian
the boar,t’axe,t’axi (boar),Georgian
the goose,bat’i,bat’i 'goose',Georgian
the duck,ixu,ixvi 'duck' ,Georgian
the footprint,daɣi,daɣi 'footprint',Georgian
the bruise,dažiza,"dažežva 'to squeeze, punch'",Georgian
the spoon,k’obzi,k’ovzi 'metal spoon',Georgian
the spoon,ket’e,kit’i 'wooden spoon',Georgian
the potato,k’artupeli,k’artupeli 'potato',Georgian
the wine,ɣino,ɣvino 'wine' Georgian,Georgian
the needle(1),näp’či,nemsi 'needle',Georgian
the towel,t’ilo,t’ilo 'cloth',Georgian
the soap,sap’uni,sap’oni 'soap',Georgian
the mirror,c’ika,č’ika 'glass (vessel)' ,Georgian
the candle,santeli,santeli 'candle',Georgian
the arch,k’amur,k’amara 'arch',Georgian
the brick,aguri,aguri 'brick',Georgian
the maize/corn,simindi,simindi 'maize',Georgian
the tobacco,tammako,tambako 'tobacco',Georgian
the mushroom,zok’o,sok’o 'mushroom',Georgian
the chain,räč’ö,ǰač’vi 'chain',Georgian
the saw,xoyɣo,xerxi 'saw',Georgian
the silver,okko,"okro 'silver, money'",Georgian
the glass,c’ika,č’ika 'glass (vessel)' ,Georgian
the path,bilik’i,bilik’i 'path',Georgian
the money,okko,"okro 'silver, money'",Georgian
the walking stick,k’obola,"k’ombali 'axle, club'",Georgian
the prison,t’usaɣi,t’usaɣi 'prison',Georgian
the cock/rooster,mamali,mamali 'rooster',Georgian
