LWT_code	semantic_field	part_of_speech	list	shortlist	english	russian	archi_word	archi	bezhta_word	bezhta	avar_word	avar	Lak	Lezgian	andi_word	andi	gagatli_word	gagatli	zilo_word	zilo	rikvani_word	rikvani	botlikh_word	botlikh	Azerbaijani	Chechen	Kumyk	kusur_word	kusur
1,213	The physical world	Noun	common	1	the dust	пыль	gun	1	pax, got’	2,3	х1ур	4	лах, ххит, ттугъ	руг	кьехва	5	кьехва	5	кьехва	5	кьехва	5	дада	6	toz	чан	чанг	х1ур	4
1,215	The physical world	Noun	common	1	the sand	песок	sarsi	1	miso	2	сали	3	КЪУН	къун	сур	4	сур	4	сур	4	щур	4	сира	4	qum	г1ум	хум, къайыр	къум	5
1,28	The physical world	Noun	common	1	the cave	пещера	noχ	1	onox	1	нохъо	1	нух	дагьар, кьвет1	речIчIо	2	реч1ч1а	2	retш'сo	2	реч1ч1о	2	реч1ч1а	2	mağara	хьех	анакъ	нохо	1
1,32	The physical world	Noun	common	1	the sea	море	ɬat	1	raɬad	1	ралъад	1	ХЬХЬИРИ	гьуьл	релъо	1	релъо	1	релъо	1	рел1о (=ночь)	1	регьа	1	dəniz	х1орд	денгиз	расад	1
1,324	The physical world	Noun	common	1	the foam	пена	moɬ	1	pöp	2	полоп	3	хьама	каф	пол	3	пол	3	пол	3	NA	NA	т1али	4	köpük	чопа	гёбюк	купук	5
1,39	The physical world	Noun	common	1	the waterfall	водопад	ɬːan čaχːˤartːut mačʼ	1	ƛišiyo	2	чвах	3	жюружани	ЧАРЧАР	чалчали	4	чванххунйа	5	чарчал	4	ч1валч1вал	4	чорчол	4	şəlalə	чухчари ду	шаршар	чухериб	6
1,43	The physical world	Noun	common	1	the wood	дерево (материал)	cʼaħan	1	haza	2	ц1ул	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ц1улалаб	3
1,45	The physical world	Noun	common	1	the earthquake	камень	dunil χiriχkumul	1	mäče laxƛōɬi	2	ракь (дуниял) багъари	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	рас гьибигьу (?)	4
1,55	The physical world	Noun	common	1	the lightning	молния	parəla	1	kayƛoyo	2	пири	3	1. ц1упар; 2. паранну; 3. ссинжир	ц1айлапан	пири	3	суннир	4	пири	3	NA	NA	пири	3	ildırım	ткъес	яшмын	илдирим	5
1,56	The physical world	Noun	common	1	the thunder	гром	qut'i	1	hasa qäƛeyoɬi	2	зоб гъугъай	3	КЪУВ	ЦАВУН ВАН, ЦАВ РАХУН	хухудир	4	хухути	4	хухудир (масдар)	4	хьухьуду (глагол) // решин хьухьудир (небо гремит)	4	хухудир (масдар)	4	ildırım	стигал къовкъар	кёк кёкюрев	зоб гургурдулиб	5
1,59	The physical world	Noun	common	1	the rainbow	радуга	χːˤološgértːi	1	mašola	2	нур	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	гьак1амок	4
1,61	The physical world	Noun	common	1	the light	свет (например солнечный)	akːon	1	kanɬi	2	канлъи, гвангъи, нур	2,3,4	1. чани; 2. чирахъ; 3. янил чани	экв	кванорлъир	5	кванорлъир	5	нур	4	NA	NA	кванар	5	yüngül	серло	ярыкъ, шавла	канси	2
1,63	The physical world	Noun	common	1	the shade or shadow	тень	ejχˤurt	1	hidoci	2	рагIад	3	1. ххют; 2. къаралти	куьлге	анччу	4	анччу	4	анччу	4	NA	NA	анччу	4	kölgə	1индаг1	гёлентки	кулга	5
1,64	The physical world	Noun	common	1	the dew	роса	makʷ	1	xida	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	чиг	3
1,831	The physical world	Noun	common	1	the steam	пар	hil	1	müšö	2	хIухьел	3	ссих1, бугъ	бугъ	гьал	4	гьал	4	гьал	4	гьухьел	3	х1уккел	3	buxar	1овраш	пус, пар	х1ухьал	3
1,88	The physical world	Noun	common	1	the firewood	спичка	k'uc'i	1	hudo	2	ц1ул	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ц1ул	3
2,34	Kinship	Noun	common	1	the wedding	свадьба	oq	1	beyten	2	бертин	2	хъат1и	мехъер	нусхъвор	3	бетен	2	рехин	4	NA	NA	NA	NA	toy	ловзар	той	бетин	2
2,44	Kinship	Noun	common	1	the brother	брат	ušdu	1	is	2	вац	3	уссу	СТХА	воцци	3	воцци	3	wotsсi	3	воцц	3	вацци	3	qardaş	Ваша	къардаш	вац	3
2,458	Kinship	Noun	common	1	the twins	близнецы	q'ʷˤét'u abutːib	1	q’unƛella	2	игизал	3	К1ИННИЧУ	КЬВЕТХВЕРАР	NA	NA	ч1елл1иджийбул	4	ч1ерл1исол	NA	NA	NA	NA	NA	əkiz	шала	эгизлер, эгиз тувгъан яшлар	кунусил (один кунус)	5
2,46	Kinship	Noun	archi	1	the grandfather	дедушка	dozja	1	NA	NA	кIудада, кIудияв эмен	2,3	1. буттал ппу; 2. ниттил ппу; 3. ттатта, хъунмямма.	ЧIЕХИ БУБА	воч1ухваима	4	илул1и има // имув има	5	веч1уха има (большой отец)	4	NA	NA	NA	NA	baba	деда	уллу ата	кудада	2
2,461	Kinship	Noun	common	1	the old man	старик	χalatːu	1	icilo	2	херав (чи)	3	къужа, хъунавхьучув	къужа, лахлах (глубокий старик)	вохор	4	NA	NA	вохор	4	в-охор гьек1а (старый человек)	4	вахара адам	4	qoca	воккха стаг	къарт гиши, къарт	х1ерав чи	3
2,47	Kinship	Noun	archi	1	the grandmother	бабушка	dozba	1	NA	NA	кIодо, кIудияй эбел, дахIабаба	2,3,4	NA	NA	йеч1ухваила	5	йайа, илул1и ила	5,6	йеч1уха ила (болшая мать)	5	NA	NA	илулъи ила	6	NA	NA	NA	кудаба	7
2,51	Kinship	Noun	common	1	the uncle	дядя	dada	1	is	2	имгIал	3	буттауссу, ниттиуссу	АМЛЕ, ИМИ, ХАЛУ, ЭМЛЕ	илул1и // имув воцци	4	илул1и воцци // имув воцци	4	ацци	5	NA	NA	имув(//имулъи) вацци	4	əmi	ваша	атасыны	джиджи	6
2,52	Kinship	Noun	common	1	the aunt	тётя	baba	1	isi	2	ункъгIал, ункъачо, ада, бажу	3,4,5,6	1. буттал ссу; 2. ниттил ссу; 3. буттал ссурахъу; 4. ниттил ссурахъу.	фаф (жена дяди по отцу), хала (сестра матери), эме (сестра отца)	имуй // илул1и йоцци	7	илул1и йецци // имуй йецци	7	илул1и йоцци // имул1и йоцци	7	NA	NA	NA	NA	xala	йиш	эчив, эгечи	абай	8
2,55	Kinship	Noun	common	1	the cousin	двоюродный брат или сестра	šekertːu(r)	1	waccal, yaccal	2,3	вацгIал, яцгIал	2,3	NA	имидин хва	вацъал // йацъал	2,3	вацъал // йацъал	2,3	ваццал	2	NA	NA	ваццаг1ал	2	na	шича	зукъари (двоюродный + брат/сестра)	вацалал, йацалал	2,3
2,61	Kinship	Noun	common	1	the father-in-law (of a man)	тесть	wakɬʼad	1	uq’o abo	2	вакьад	1	щарнил ппу	иранбуба	гьорчIчIулIи има	3	имакьеру	4	имакьору	4	NA	NA	имакьур	4	qayınatası	NA	къайната	агарав (просто родственник по-моему)	5
2,611	Kinship	Noun	common	1	the father-in-law (of a woman)	свёкор	wakɬʼad	1	uq’o abo	2	вакьад	1	ласнал ппу	апай	имакьору	3	имакьеру	3	имакьору	3	NA	NA	имакьур	3	qayınatası (отец?)	марда	къайната (эрни атасы) / нет разницы свёкор - тесть	NA	NA
2,62	Kinship	Noun	common	1	the mother-in-law (of a man)	тёща	jakɬʼad	1	y-uq’o iyo	2	якьад	1	щарнил нину, щарнил бава	ирандиде	илакьору	3	илакьеру	3	илакьору	3	NA	NA	илакьур	3	na	стуннана	къайнана	ц1ахъай	4
2,71	Kinship	Noun	common	1	the stepfather	отчим	biši dija	1	besdal abo	2	бесдал эмен	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	бесдул эмен	2
2,72	Kinship	Noun	common	1	the stepmother	мачеха	biši buwa	1	besdal iyo	2	бесдал эбел	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	бесдул эбел	2
2,75	Kinship	Noun	common	1	the orphan	сирота	kulu lo	1	besdal	2	бесдал лъимер, ятим	2,3	ятин, хьюлу оьрч1.	етим	бесдал, ятим	2,3	бесдал, йатим, бесдук1и	2,3,4	бесдал	2	бесдал	2	игьаду	4	yetim	бо	етим, оьксюз	йитим	3
2,76	Kinship	Noun	common	1	the widow	вдова	q’orolaj	1	qorolay	1	къоролай	1	курч1ущар; щащар.	ХЕНДЕДА	серошк1ва	2	серешк1и	2	серо йошик1ва	2	серешик1а (одна-женщина), серекьа (один-человек)	2	къоролай	1	dul	жеро	тул къатын	къоролай	1
2,77	Kinship	Noun	common	1	the widower	вдовец	q’orol bošor	1	q’orolaw	1	къоролав	1	курч1учув	хендеда итим	серо	2	серо	2	серо гьек1ва	2	NA	NA	къоролав	1	dul	жера-стаг	тул гиши	къорулай	1
2,82	Kinship	Noun	common	1	the family	семья	χali	1	qizan	2	хъизан	2	КУЛПАТ	килфет	хъизан	2	хъизан	2	хъизан	2	хъизан	2	хъизан	2	ailə	доьзал	уягьлю, агьлю	агьло	3
3,2	Animals	Noun	common	1	the cattle	крупный рогатый скот	ʁatːəra	1	häymän	2	чIегIербоцIи	3	гъаттара, ризкьи	къарамал	буц1ц1ир	4	бишони	6	буц1ц1ир, бишонно	4,6	реч1едир буц1ц1ир (черный скот), бишоннол	4,6	буц1ц1и	4	mal-qara	NA	къара тувар (рогатый скот)	рухьид	5
3,32	Animals	Noun	common	1	the boar	кабан	qaban	1	t’axe	2	хъабан	1	NA	NA	ххунт1а	3	хъаман, ххунт1а	1,3	хъаман, хунт1а	1,3	къаман // къабан, хунт1а кунта	1,3	хъапан, г1алхул болъон	1,4	NA	NA	NA	улх1ул босон	5
3,35	Animals	Noun	common	1	the pig	свинья	boˤkɬʼ	1	buƛo	1	болъон	1	БУРК1	вак	ххунт1а	2	хунт1а	2	хунт1а	2	хунт1а	2	болъон	1	donuz	хьакха	донгуз	босон	1
3,47	Animals	Noun	common	1	the mule	мул	q'urc'em	1	xoyc’on	2	гIорцIен	1	ВИЛЦ1УН	КЪАТИР	гъгъурц1им	1	къгурц1им	1	г1урц1им	1	гурц1им	1	г1урц1ен	1	qatır	б1арза	къачыр	г1урц1ен	1
3,56	Animals	Noun	common	1	the goose	гусь	qaz	1	bat’i	2	хъаз	1	КЪАЗ (КЪВАЗ)	КЪАЗ	хъази	1	хъази	1	хъази	1	хъаз	1	хъаз	1	dərzi ütüsü	г1аз	къаз	хъаз	1
3,57	Animals	Noun	common	1	the duck	утка	uˤrdek	1	ixu	2	ордек	1	ЩИНАТ1АЛ(И)	п1ат1	бадуши	3	бадещи	3	бадущи	3	бабущ	3	урдек	1	ördək	бад	оьрдек, бабиш	г1урдек	1
3,58	Animals	Noun	common	1	the nest	гнездо	χal	1	sĩ (1)	2	хIанчIибусен	3	кюру	МУГ	бешон	3	бешен	3	ц1ц1умол1и бешен, щекибул1и гьакъу	3,4	бешун (=кровать)	3	щикибалъи бешен (кровать для птиц)	3	уя?	бен	уя	бесен	3
3,591	Animals	Noun	common	1	the bat	летучая мышь	q'eɬːibožo	1	kündäy	2	дергело, къохьолъалкIач	3,4	NA	кьаркьулув	NA	NA	ххикри	5	лъалбот1и (днем слепой)	6	хакара (перен. о человеке, недостойный)	7	дергва	8	yarasa	NA	гечекъуш, варканат	къехьу	9
3,596	Animals	Noun	common	1	the owl	сова	isu	1	ruz	2	руз	2	NA	NA	гиггу	6	бугьу	7	лъалбот1и (также летучая мышь), бугьу	3,7	руз, бугьу	2,7	руз, бугьу	2,7	NA	NA	NA	байкъуш, бугургу	4,5
3,62	Animals	Noun	common	1	the cat	кот или кошка	gatu	1	gedo	1	кето	1	ЦЦУЧЧИТ(У)	кац	геду	1	геду	1	геду	1	геду	1	геду	1	pişik	цициг	мишик	пушуй	2
3,65	Animals	Noun	common	1	the fish	рыба	χˤabχˤi	1	bisa	2	ччугIа	3	чавахъ, балугъ	к1езри, гъед	хвами	4	хвами	4	хвами	4	ччуъа	3	хъва2й	4	balıq	ч1ара	балыкъ	булух	5
3,71	Animals	Noun	common	1	the wolf	волк	jam	1	bac’o (1)	2	бацI	2	барц1	ЖАНАВУР	боц1о	2	боц1о	2	боц1о	2	боц1ц1о	2	бац1а	2	canavar	борз	бёрю	джанвар, бац1	3,2
3,72	Animals	Noun	common	1	the lion	лев	ʁalbac'	1	ɣalbac’	1	гъалбацI	1	АСЛАН	аслан	гъалбац1и	1	гъалбац1и	1	гъалбац1ц1и	1	гъалбац1	1	гъалбац1	1	aslan	лом	арсланкъаплан, арслан	аслан	2
3,817	Animals	Noun	common	1	the ant	муравей	zimzu	1	hũca	2	цIунцIра	3	МИЗИ-КЪАКЪА	цегв	лъанц1ц1и	4	лъанц1ц1и	4	лъанц1и	4	лъанц1	4	танц1ц1а	4	qarışqa	зингат	къомурсгъа	ц1унц1ура	3
3,818	Animals	Noun	common	1	the spider	паук	k'ʷet' χʷarši	1	kalaɣas q’ī	2	нусиреч, къорола, гIанкабутI	3,4,5	ххялцу	хуьшрекан	NA	NA	руххунниб	6	мисихвара	7	мисихвара (хвара = приступ)	7	нуццахир	8	hörümçək	гезг	мияма, мия	гьум	9
3,819	Animals	Noun	common	1	the spider web	паутина	k'ʷet' χʷaršilin χal	1	q’imaq’o	2	хъанхъра, нуси	3,4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	гьум	9
3,821	Animals	Noun	archi	1	the beeswax	пчелиный воск	χam	1	NA	NA	найил хIе	2	хъан	мум	NA	NA	щир	3	щир	3	щир	3	(перулъи) щиру	3	mum	балоз	балавуз	х1уй	4
3,823	Animals	Noun	common	1	the wasp	оса	ʕalχul t'ant'	1	ƛordena	2	кьужна	3	щахха най	хуз	NA	NA	нич1а (также овод)	4	гьанкьак1ур	5	зиркъо	6	кьимжура	7	arı	з1уга	телижибин	щужа	8
3,835	Animals	Noun	common	1	the tick	клещ	χʷimc'	1	p’ip’it’i	2	нугI	3	суц1	кк1лам	NA	NA	ларба	4	арпа	4	л*арба	4	синалъур	5	tutarlı pay	NA	къасарткъы	кана	6
3,84	Animals	Noun	common	1	the worm	червь, червяк	miliχˤu	1	bet’ela	2	хIутI, борохь, хIапара, къвекI	3,4,5,6	1. кьюнукьай шатта; 2. кьач1и; 3. гунуги.	квак	ц1ц1ал1иберча (дождевой червь), гьабара (червь)	8,5	жолка, ссержи, гъабара, жили, аллагьищубхъи (червь с ворсом), турхан (червь с длинным хвостом)	6,9,5,10,11,12	жолка	6	жолка	6	х1апара	5	qurd	н1аьна	хурт	бурух, х1ашбурух (х1аш = мусор)	4,7
3,863	Animals	Noun	common	1	the hare	заяц	ojomči	1	qiyalat’o	2	гIанкI	3	бюрх	къуьр	кьанк1ала	4	кьанк1ала	4	кьанк1ала	4	кьанк1ара	4	кьанк1ар	4	dovşan	Лергъяхар йу, пхьагал йу	къоян, тавшан	давшан	5
3,92	Animals	Noun	common	1	the butterfly	бабочка	c’imic’əla	1	päpät’ö	2	кIалкIучI	3	ч1имуч1али	чепелукь	къат1ипа	4	пиринпа	5	одорук1а	6	ц1орц1а	7	сасак1у	8	kəpənək	полла	гюмелек	эндулкилик (тоже мочка уха)	9
3,93	Animals	Noun	common	1	the grasshopper	кузнечик	apalχac'i	1	xac’o	2	гарцI	3	хъац1	NA	гъац1а	4	гъац1а	4	гъац1а	4	гъац1а	4	гьац1а	4	çəyirtkə	цаьпцалг	увакъ ченгертки	ц1ирт	5
3,94	Animals	Noun	common	1	the snail	улитка	χːˤelmin dogi	1	böƛöqä	2	цIадалхIама	3	бажана ттукку.	шуькьуьнт	NA	NA	NA	NA	шонк1ур	4	шонк1ул, аллайщуб гьарох	4,6	щайт1ан	5	ilbiz	этмаь1иг	хуртуя	содулх1ама	3
