DAzer;DKumyk;DLezgian;DRutul;IkhAish;IkhJar;IkhSal;IkhZij;KicheSej;KicheSer;KinaMev;KinaNur;KinaShaf;Kusur;RutVera
DAzer;0.0;0.6134453781512605;0.7435897435897436;0.6971153846153846;0.759493670886076;0.7553648068669528;0.7521367521367521;0.7330508474576272;0.76;0.7702702702702703;0.7675438596491229;0.7489361702127659;0.7304347826086957;0.8140495867768595;0.7546296296296297
DKumyk;0.6134453781512605;0.0;0.7478991596638656;0.7089201877934272;0.7583333333333333;0.7721518987341772;0.7573221757322176;0.7615062761506276;0.7565217391304347;0.7699115044247787;0.7586206896551724;0.7531380753138075;0.7564102564102564;0.8089430894308943;0.7477064220183486
DLezgian;0.7435897435897436;0.7478991596638656;0.0;0.6509433962264151;0.7245762711864406;0.721030042918455;0.7203389830508474;0.6965811965811965;0.6651982378854625;0.6801801801801802;0.7236842105263158;0.6923076923076923;0.7142857142857143;0.8388429752066116;0.6666666666666666
DRutul;0.6971153846153846;0.7089201877934272;0.6509433962264151;0.0;0.2863849765258216;0.24170616113744076;0.29906542056074764;0.3018867924528302;0.22439024390243903;0.23880597014925373;0.2634146341463415;0.2;0.27403846153846156;0.7477064220183486;0.09644670050761421
IkhAish;0.759493670886076;0.7583333333333333;0.7245762711864406;0.2863849765258216;0.0;0.1297071129707113;0.12184873949579832;0.1908713692946058;0.3695652173913043;0.40444444444444444;0.32751091703056767;0.2815126050420168;0.31759656652360513;0.7601626016260162;0.3013698630136986
IkhJar;0.7553648068669528;0.7721518987341772;0.721030042918455;0.24170616113744076;0.1297071129707113;0.0;0.15254237288135594;0.20253164556962025;0.33771929824561403;0.35294117647058826;0.2925764192139738;0.24472573839662448;0.25862068965517243;0.757201646090535;0.2672811059907834
IkhSal;0.7521367521367521;0.7573221757322176;0.7203389830508474;0.29906542056074764;0.12184873949579832;0.15254237288135594;0.0;0.22362869198312235;0.3930131004366812;0.3811659192825112;0.314410480349345;0.2838983050847458;0.3017241379310345;0.7622950819672131;0.30275229357798167
IkhZij;0.7330508474576272;0.7615062761506276;0.6965811965811965;0.3018867924528302;0.1908713692946058;0.20253164556962025;0.22362869198312235;0.0;0.3991228070175439;0.38738738738738737;0.32456140350877194;0.2869198312236287;0.29004329004329005;0.7663934426229508;0.3194444444444444
KicheSej;0.76;0.7565217391304347;0.6651982378854625;0.22439024390243903;0.3695652173913043;0.33771929824561403;0.3930131004366812;0.3991228070175439;0.0;0.2374429223744292;0.32142857142857145;0.2956521739130435;0.3288888888888889;0.7521367521367521;0.2535885167464115
KicheSer;0.7702702702702703;0.7699115044247787;0.6801801801801802;0.23880597014925373;0.40444444444444444;0.35294117647058826;0.3811659192825112;0.38738738738738737;0.2374429223744292;0.0;0.319634703196347;0.29910714285714285;0.3378995433789954;0.7587719298245614;0.2222222222222222
KinaMev;0.7675438596491229;0.7586206896551724;0.7236842105263158;0.2634146341463415;0.32751091703056767;0.2925764192139738;0.314410480349345;0.32456140350877194;0.32142857142857145;0.319634703196347;0.0;0.1645021645021645;0.20444444444444446;0.7702127659574468;0.27699530516431925
KinaNur;0.7489361702127659;0.7531380753138075;0.6923076923076923;0.2;0.2815126050420168;0.24472573839662448;0.2838983050847458;0.2869198312236287;0.2956521739130435;0.29910714285714285;0.1645021645021645;0.0;0.15948275862068967;0.7613168724279835;0.22119815668202766
KinaShaf;0.7304347826086957;0.7564102564102564;0.7142857142857143;0.27403846153846156;0.31759656652360513;0.25862068965517243;0.3017241379310345;0.29004329004329005;0.3288888888888889;0.3378995433789954;0.20444444444444446;0.15948275862068967;0.0;0.7698744769874477;0.2641509433962264
Kusur;0.8140495867768595;0.8089430894308943;0.8388429752066116;0.7477064220183486;0.7601626016260162;0.757201646090535;0.7622950819672131;0.7663934426229508;0.7521367521367521;0.7587719298245614;0.7702127659574468;0.7613168724279835;0.7698744769874477;0.0;0.7612612612612613
RutVera;0.7546296296296297;0.7477064220183486;0.6666666666666666;0.09644670050761421;0.3013698630136986;0.2672811059907834;0.30275229357798167;0.3194444444444444;0.2535885167464115;0.2222222222222222;0.27699530516431925;0.22119815668202766;0.2641509433962264;0.7612612612612613;0.0

